id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
STAT2	18	4.3511e-07	0.00016367	0.077163	44	11	-0.58627	0.92323	0.97716	1.0	19507	2	-0.58627
hsa-mir-7110	12	4.4552e-07	0.00010067	0.053159	45	9	-0.89941	0.99789	0.99567	1.0	20533	0	-0.89941
HOXA7	18	4.6755e-07	0.00017531	0.079208	46	14	-0.40966	1.0	0.99999	1.0	20685	0	-0.40966
hsa-mir-138-1	12	4.7483e-07	0.00010295	0.053159	47	11	-0.5915	0.99983	0.99953	1.0	20629	0	-0.5915
ATP6V0C	17	4.7982e-07	0.00016732	0.077207	48	14	-1.5575	0.91539	0.97248	1.0	19426	1	-1.5575
MAD2L2	18	5.8598e-07	0.00019882	0.087998	49	10	-0.27113	0.45217	0.73855	1.0	14189	6	-0.27113
MAGED4B	18	6.4365e-07	0.0002164	0.092021	50	9	-0.22065	0.76818	0.92326	1.0	17951	6	-0.22065
LATS2	17	6.5696e-07	0.00020841	0.090396	51	12	-0.55057	0.60837	0.83871	1.0	16177	2	-0.55057
CCDC115	18	6.6664e-07	0.00022416	0.093488	52	14	-0.94187	0.94042	0.98201	1.0	19688	1	-0.94187
SOX1	18	7.3631e-07	0.00024379	0.09791	53	12	-0.59964	0.24086	0.51736	1.0	10811	3	-0.59964
SCNN1D	17	7.5931e-07	0.00023626	0.096675	54	13	-0.83651	0.99999	0.99996	1.0	20680	0	-0.83651
ANKS1A	18	8.8755e-07	0.00026457	0.103518	55	11	-0.46953	0.85097	0.95352	1.0	18725	3	-0.46953
MMP23B	18	9.002e-07	0.00027735	0.105524	56	15	-0.67067	0.99575	0.99776	1.0	20455	1	-0.67067
PCP4L1	17	1.0086e-06	0.00028694	0.107289	57	7	-0.19949	0.33189	0.62647	1.0	12446	7	-0.19949
RNF26	18	1.1829e-06	0.00031981	0.117553	58	16	-0.52073	0.99862	0.99899	1.0	20567	2	-0.52073
RGPD4	15	1.226e-06	0.0002673	0.103518	59	8	-0.54263	0.86744	0.95091	1.0	18912	4	-0.54263
ATP6V1B2	18	1.2335e-06	0.00035291	0.123443	60	16	-0.90295	0.97749	0.9925	1.0	20136	2	-0.90295
MNT	18	1.451e-06	0.00036911	0.126934	61	12	-0.67193	0.88012	0.96383	1.0	19063	3	-0.67193
TAF11	18	1.4804e-06	0.00038144	0.127266	62	4	0.52221	0.0052107	0.026607	0.296464	1885	11	0.52221
OR14J1	18	1.5569e-06	0.00040016	0.131488	63	14	-0.5512	0.9974	0.99834	1.0	20504	2	-0.5512
PIK3R2	18	1.5972e-06	0.00040997	0.132703	64	12	-0.73822	0.68912	0.88645	1.0	17078	5	-0.73822
ZCCHC3	18	1.8995e-06	0.0004659	0.146434	65	12	-0.59276	0.83812	0.9484	1.0	18599	3	-0.59276
KLF16	18	2.0746e-06	0.00050356	0.148047	66	11	-0.59314	0.002691	0.01746	0.261241	1379	7	-0.59314
PCID2	17	2.0756e-06	0.00047412	0.146888	67	14	-0.87677	0.72273	0.90143	1.0	17454	1	-0.87677
B3GNT1	18	2.0855e-06	0.00050516	0.148047	68	12	-0.6124	0.14607	0.37004	0.912863	8662	4	-0.6124
METTL14	18	2.3075e-06	0.00055356	0.15796	69	11	-0.67627	0.72271	0.9039	1.0	17453	4	-0.67627
GAS1	18	2.4559e-06	0.00057273	0.160447	70	9	-0.28189	0.31515	0.61381	1.0	12174	6	-0.28189
VSTM5	18	2.4854e-06	0.00057707	0.160447	71	12	-0.3957	0.59592	0.84057	1.0	16028	2	-0.3957
CD38	18	2.788e-06	0.00062067	0.168684	72	8	-0.19768	0.49725	0.77536	1.0	14793	7	-0.19768
GTPBP6_Y	18	2.8987e-06	0.00063003	0.168684	73	9	-0.073044	0.61077	0.84869	1.0	16220	6	-0.073044
PODNL1	18	3.0141e-06	0.00066929	0.174878	74	9	-0.17664	0.86719	0.9592	1.0	18909	4	-0.17664
hsa-mir-557	12	3.1997e-06	0.00037459	0.126934	75	10	-0.62287	0.16903	0.38457	0.922611	9218	1	-0.62287
ADORA1	17	3.2109e-06	0.00064943	0.171758	76	10	-0.53922	0.69215	0.8864	1.0	17109	4	-0.53922
DCLK1	18	3.3046e-06	0.00075261	0.191015	77	11	-0.36682	0.55617	0.81255	1.0	15524	5	-0.36682
hsa-mir-6825	11	3.3397e-06	0.00032528	0.117574	78	9	-0.93112	0.99996	0.99985	1.0	20670	0	-0.93112
BPIFB2	18	3.4839e-06	0.00076585	0.191015	79	5	0.18484	0.11952	0.31281	0.849371	7926	10	0.18484
PRICKLE2	18	3.7501e-06	0.00080009	0.191015	80	7	0.12341	0.60637	0.84699	1.0	16160	7	0.12341
TTLL10	18	3.9072e-06	0.00081835	0.191015	81	13	-0.51959	0.99	0.99612	1.0	20330	2	-0.51959
SYS1	18	3.9565e-06	0.00082063	0.191015	82	13	-0.60402	0.93511	0.98006	1.0	19636	1	-0.60402
TMEM165	18	3.9778e-06	0.00082177	0.191015	83	15	-0.84152	1.0	0.99999	1.0	20684	0	-0.84152
PARK7	18	4.106e-06	0.00082588	0.191015	84	13	-0.65967	0.99755	0.99843	1.0	20512	2	-0.65967
hsa-mir-4497	12	4.1932e-06	0.00045334	0.144584	85	11	-0.96447	0.94219	0.96872	1.0	19711	1	-0.96447
PTN	18	4.1985e-06	0.00082794	0.191015	86	12	-0.77334	0.73377	0.90931	1.0	17579	3	-0.77334
hsa-mir-6871	12	4.7437e-06	0.00049466	0.148047	87	11	-0.883	0.9976	0.99528	1.0	20516	1	-0.883
hsa-mir-6729	9	4.7737e-06	0.00034583	0.122951	88	7	-1.3375	0.4711	0.6857	1.0	14446	2	-1.3375
STK35	18	4.8533e-06	0.00095896	0.216188	89	8	-0.20445	0.9776	0.99253	1.0	20139	3	-0.20445
ZNF366	18	4.9448e-06	0.00096718	0.216188	90	13	-0.43626	0.9063	0.97377	1.0	19352	4	-0.43626
SMARCA2	18	5.1159e-06	0.00098864	0.216188	91	13	-0.7287	0.96562	0.98971	1.0	20006	2	-0.7287
KLHDC8B	16	5.1182e-06	0.00082657	0.191015	92	7	-0.050931	0.11539	0.30373	0.842972	7793	6	-0.050931
FOXI1	18	5.1227e-06	0.00098909	0.216188	93	13	-0.61867	0.86227	0.95729	1.0	18857	2	-0.61867
hsa-mir-6819	11	5.2483e-06	0.00048416	0.147887	94	7	-1.8123	0.86809	0.93616	1.0	18916	3	-1.8123
TH	18	5.3459e-06	0.00099686	0.216188	95	15	-0.68402	0.95149	0.9853	1.0	19837	2	-0.68402
TMED3	17	5.3986e-06	0.00092564	0.211308	96	15	-0.62607	0.2928	0.58417	1.0	11777	2	-0.62607
hsa-mir-6804	11	5.8155e-06	0.00053301	0.154125	97	9	-0.80137	0.51593	0.73771	1.0	15022	1	-0.80137
CMAS	18	5.9062e-06	0.0010726	0.230321	98	9	-0.38489	0.087234	0.24662	0.777118	6847	6	-0.38489
PRNP	18	6.2821e-06	0.001127	0.235101	99	10	-0.52536	0.54312	0.80441	1.0	15355	6	-0.52536
FGD5	18	6.3199e-06	0.0011274	0.235101	100	12	-0.63509	0.85959	0.95655	1.0	18821	2	-0.63509
hsa-mir-6840	12	6.5461e-06	0.00062432	0.168684	101	9	-0.92732	0.81297	0.91458	1.0	18355	1	-0.92732
hsa-mir-4750	12	7.0452e-06	0.00068504	0.176862	102	11	-0.75829	0.98907	0.98906	1.0	20310	1	-0.75829
CCND1	17	7.0984e-06	0.0011098	0.235101	103	10	-0.3648	0.78565	0.92614	1.0	18120	3	-0.3648
GLOD4	18	7.1476e-06	0.0011859	0.242019	104	7	0.40542	0.045112	0.15478	0.647806	5096	10	0.40542
APEH	18	7.209e-06	0.0011941	0.242019	105	10	-0.40266	0.23028	0.50603	1.0	10590	8	-0.40266
TYMS	18	7.3444e-06	0.0012133	0.243629	106	5	0.26298	0.25454	0.53849	1.0	11118	8	0.26298
INPP5E	18	8.0215e-06	0.0012721	0.247393	107	4	-0.10097	0.14403	0.36428	0.90733	8610	5	-0.10097
CCDC28B	18	8.085e-06	0.0012827	0.247393	108	6	-0.039648	0.88941	0.96777	1.0	19163	5	-0.039648
RASEF	18	8.1116e-06	0.0012858	0.247393	109	10	-0.62719	0.4284	0.71912	1.0	13878	5	-0.62719
TCTE1	18	8.1289e-06	0.0012877	0.247393	110	12	-0.47728	0.1126	0.30166	0.840422	7700	6	-0.47728
FOXD1	18	8.1882e-06	0.001289	0.247393	111	12	-0.64524	0.99998	0.99993	1.0	20677	0	-0.64524
hsa-mir-3138	11	9.2874e-06	0.00081424	0.191015	112	8	-1.0418	0.85115	0.9288	1.0	18730	1	-1.0418
PET117	18	9.5679e-06	0.0014297	0.263749	113	8	0.065954	0.30175	0.6001	1.0	11938	7	0.065954
ALG12	17	9.7823e-06	0.0013621	0.257383	114	13	-0.71435	0.99612	0.99749	1.0	20466	2	-0.71435
PHC2	18	9.783e-06	0.0014415	0.263749	115	9	-0.27553	0.98185	0.99364	1.0	20191	3	-0.27553
WDR7	17	9.872e-06	0.0013648	0.257383	116	13	-0.84274	0.85044	0.95156	1.0	18718	2	-0.84274
SOX2	17	1.0045e-05	0.0013781	0.257639	117	10	-0.29509	0.52885	0.79187	1.0	15162	4	-0.29509
FOXC2	18	1.0154e-05	0.0014922	0.269678	118	14	-0.61743	0.80669	0.93949	1.0	18301	3	-0.61743
UNC5D	17	1.083e-05	0.0014472	0.263749	119	12	-0.54474	0.075094	0.21762	0.739034	6402	3	-0.54474
COX15	14	1.112e-05	0.0011603	0.239651	120	12	-1.1559	0.98262	0.98962	1.0	20198	2	-1.1559
TNFRSF13B	18	1.127e-05	0.001584	0.280166	121	9	-0.19924	0.22762	0.50231	1.0	10535	7	-0.19924
CHRD	18	1.1427e-05	0.001589	0.280166	122	14	-0.38589	0.97321	0.99138	1.0	20079	1	-0.38589
SLC52A3	18	1.2123e-05	0.0016479	0.282294	123	12	-0.59131	0.95834	0.98734	1.0	19912	2	-0.59131
LHX6	18	1.2257e-05	0.0016634	0.282294	124	10	-0.3375	0.46241	0.74798	1.0	14318	5	-0.3375
GK5	18	1.2265e-05	0.0016661	0.282294	125	9	-0.19079	0.24193	0.51994	1.0	10842	8	-0.19079
RAB43	17	1.252e-05	0.0015878	0.280166	126	14	-0.73104	0.99723	0.99807	1.0	20496	1	-0.73104
XIRP1	18	1.398e-05	0.0017908	0.301059	127	12	-0.54483	0.99211	0.99673	1.0	20375	2	-0.54483
ACP5	18	1.4356e-05	0.0018319	0.305598	128	13	-0.74288	0.48942	0.76813	1.0	14697	2	-0.74288
KRTAP1-3	18	1.5019e-05	0.0018898	0.308978	129	7	0.01705	0.16909	0.40715	0.946498	9220	7	0.01705
UNCX	18	1.5066e-05	0.0018908	0.308978	130	15	-0.39083	0.97268	0.99125	1.0	20075	2	-0.39083
SRXN1	18	1.5222e-05	0.0018949	0.308978	131	14	-0.64058	0.99026	0.99621	1.0	20334	1	-0.64058
FRMD3	18	1.5642e-05	0.0019291	0.312214	132	9	-0.28418	0.93048	0.97905	1.0	19588	4	-0.28418
SLC16A3	15	1.5673e-05	0.0016497	0.282294	133	7	-0.18315	0.2425	0.51037	1.0	10852	6	-0.18315
H2AFJ	18	1.6044e-05	0.0020026	0.319343	134	14	-0.60714	0.92598	0.97779	1.0	19534	3	-0.60714
GSS	18	1.6251e-05	0.0020528	0.322607	135	6	0.19585	0.72892	0.90766	1.0	17525	6	0.19585
TMEM161A	17	1.6509e-05	0.0020012	0.319343	136	14	-0.74831	0.44753	0.73219	1.0	14129	3	-0.74831
P2RY10	18	1.8352e-05	0.0022514	0.339556	137	13	-0.53222	0.90831	0.97416	1.0	19364	3	-0.53222
HSD11B1L	18	1.8379e-05	0.0022519	0.339556	138	12	-0.86254	0.12605	0.32884	0.86592	8148	4	-0.86254
IKBKG	18	1.8461e-05	0.0022546	0.339556	139	12	-0.93112	0.95734	0.98689	1.0	19897	3	-0.93112
hsa-mir-6779	12	1.9321e-05	0.0016479	0.282294	140	11	-0.96327	0.99688	0.99426	1.0	20485	1	-0.96327
SSTR3	18	1.9498e-05	0.0023829	0.356402	141	8	-0.14376	0.99551	0.99765	1.0	20446	2	-0.14376
PIK3CD	17	2.0416e-05	0.0024098	0.357961	142	14	-0.47104	0.99795	0.99845	1.0	20537	1	-0.47104
EPHA10	18	2.063e-05	0.0024875	0.363639	143	7	-0.01301	0.77805	0.92804	1.0	18048	5	-0.01301
GABPB2	18	2.069e-05	0.002492	0.363639	144	4	0.39453	0.049821	0.16784	0.666891	5353	11	0.39453
SNAI1	18	2.1256e-05	0.0025619	0.363639	145	10	-0.50801	0.73223	0.909	1.0	17559	4	-0.50801
SBNO2	18	2.1336e-05	0.0025687	0.363639	146	13	-0.55202	0.54545	0.8051	1.0	15379	3	-0.55202
GALR3	17	2.1681e-05	0.0025363	0.363639	147	12	-0.43076	0.8281	0.94261	1.0	18506	2	-0.43076
PRODH	18	2.2061e-05	0.0026144	0.363639	148	9	-0.152	0.51488	0.78608	1.0	15007	6	-0.152
FAM86C1	18	2.2101e-05	0.0026153	0.363639	149	12	-0.82493	0.93904	0.98153	1.0	19671	2	-0.82493
ARID1A	18	2.2109e-05	0.0026157	0.363639	150	15	-0.39594	0.99989	0.99968	1.0	20644	1	-0.39594
CHCHD5	18	2.2595e-05	0.0026879	0.368937	151	13	-0.60244	0.99986	0.99961	1.0	20637	1	-0.60244
SEH1L	18	2.3326e-05	0.0028216	0.377726	152	12	-1.2106	0.9188	0.9761	1.0	19455	2	-1.2106
TMEM160	18	2.3522e-05	0.0028331	0.377726	153	11	-0.40928	0.99411	0.99721	1.0	20410	1	-0.40928
MLL2	18	2.3838e-05	0.002839	0.377726	154	12	-0.58948	0.74095	0.91209	1.0	17650	3	-0.58948
hsa-mir-4437	12	2.4103e-05	0.0020451	0.322607	155	11	-0.77805	0.97764	0.98492	1.0	20140	1	-0.77805
VAMP2	18	2.5336e-05	0.0030061	0.39511	156	11	-0.41305	0.33185	0.63167	1.0	12445	4	-0.41305
MNX1	17	2.5407e-05	0.0028162	0.377726	157	14	-0.64007	0.83964	0.94682	1.0	18614	1	-0.64007
REXO1	18	2.5907e-05	0.0030394	0.397083	158	11	-0.53301	0.67179	0.87807	1.0	16898	4	-0.53301
FAM21B	12	2.7842e-05	0.0022058	0.339556	159	7	-0.584	0.98866	0.98892	1.0	20300	1	-0.584
MT1B	15	2.7963e-05	0.0026632	0.367882	160	13	-0.64637	0.8404	0.94234	1.0	18625	2	-0.64637
MARCO	18	2.9278e-05	0.0033919	0.440475	161	11	-0.56493	0.051972	0.1726	0.67204	5462	5	-0.56493
MRAP	18	3.0749e-05	0.003448	0.442469	162	12	-0.67437	0.81102	0.94081	1.0	18340	5	-0.67437
ARF1	18	3.142e-05	0.0035023	0.446797	163	13	-0.9016	0.99671	0.99811	1.0	20480	2	-0.9016
CHST15	18	3.1661e-05	0.0035699	0.452753	164	10	-0.45275	0.89208	0.96858	1.0	19200	5	-0.45275
hsa-mir-7-3	11	3.1941e-05	0.0021674	0.338165	165	7	-0.90583	0.16848	0.38023	0.921917	9208	3	-0.90583
DUSP2	18	3.4582e-05	0.0037288	0.462315	166	8	0.0091049	0.19534	0.44888	0.983185	9824	9	0.0091049
BIN2	18	3.4674e-05	0.0037726	0.462315	167	8	-0.24968	0.021649	0.080598	0.476379	3633	5	-0.24968
PROK1	18	3.4929e-05	0.003837	0.464876	168	13	-0.48161	0.99109	0.99652	1.0	20357	3	-0.48161
TYW5	18	3.55e-05	0.0039242	0.467332	169	8	-0.1612	0.19672	0.45359	0.989744	9851	7	-0.1612
CA9	18	3.6579e-05	0.0039552	0.467332	170	14	-0.58723	0.92136	0.97685	1.0	19490	4	-0.58723
hsa-mir-216a	12	3.6957e-05	0.0025893	0.363639	171	7	-0.75583	0.73178	0.87882	1.0	17554	3	-0.75583
MT3	18	3.703e-05	0.0039653	0.467332	172	10	-0.25911	0.97234	0.99114	1.0	20071	3	-0.25911
SLC26A4	17	3.7841e-05	0.0037219	0.462315	173	11	-0.59053	0.37418	0.66515	1.0	13117	1	-0.59053
MOGAT2	18	3.7943e-05	0.0040178	0.467332	174	11	-0.78816	0.58755	0.83551	1.0	15917	3	-0.78816
OR13J1	16	3.7983e-05	0.0034375	0.442469	175	10	-0.66089	0.050688	0.16053	0.659127	5403	4	-0.66089
ZXDA	18	3.8298e-05	0.0040297	0.467332	176	13	-0.49234	0.84468	0.95158	1.0	18663	4	-0.49234
C12orf68	18	3.8811e-05	0.0040917	0.469511	177	10	-0.2396	0.5324	0.79657	1.0	15208	5	-0.2396
PRDX1	17	3.8953e-05	0.0037877	0.462315	178	14	-0.70276	0.98217	0.99298	1.0	20196	1	-0.70276
hsa-mir-1234	12	3.9178e-05	0.0027851	0.377726	179	8	-0.78307	0.90691	0.95621	1.0	19358	3	-0.78307
HLA-DQA2	18	4.0728e-05	0.0042543	0.471206	180	10	-0.35504	0.59053	0.83717	1.0	15961	3	-0.35504
hsa-mir-3185	12	4.1052e-05	0.0029157	0.385565	181	6	-0.42759	0.69887	0.85853	1.0	17181	4	-0.42759
KRTAP6-1	18	4.1173e-05	0.0042823	0.471206	182	10	-0.28092	0.66963	0.87729	1.0	16877	4	-0.28092
RCAN1	18	4.1734e-05	0.00431	0.471206	183	14	-0.56669	0.95125	0.98517	1.0	19832	2	-0.56669
PVRL4	18	4.2772e-05	0.0043588	0.471206	184	8	-0.27916	0.2226	0.49724	1.0	10434	7	-0.27916
CNOT2	17	4.3001e-05	0.0040589	0.468217	185	14	-0.90257	0.82281	0.93999	1.0	18446	3	-0.90257
PDZD3	18	4.3003e-05	0.0043693	0.471206	186	7	-0.124	0.3825	0.67701	1.0	13248	7	-0.124
AVP	18	4.3076e-05	0.0043714	0.471206	187	12	-0.6813	0.52483	0.79104	1.0	15115	4	-0.6813
SLC39A4	18	4.3076e-05	0.0043714	0.471206	188	11	-0.49664	0.85181	0.95363	1.0	18736	3	-0.49664
COG7	16	4.3363e-05	0.003968	0.467332	189	10	-0.87149	0.40441	0.68642	1.0	13544	4	-0.87149
TRIM3	18	4.4153e-05	0.0044159	0.471206	190	10	-0.19525	0.3843	0.67969	1.0	13270	6	-0.19525
NYAP1	18	4.4838e-05	0.0044634	0.471206	191	12	-0.38581	0.98419	0.99416	1.0	20230	3	-0.38581
PABPC3	16	4.5726e-05	0.0041228	0.470584	192	7	-0.138	0.46301	0.74225	1.0	14328	6	-0.138
RAP1GAP	18	4.5731e-05	0.0044825	0.471206	193	12	-0.65278	0.24531	0.52518	1.0	10922	5	-0.65278
LFNG	18	4.5801e-05	0.0044825	0.471206	194	9	-0.25114	0.72855	0.9075	1.0	17519	6	-0.25114
FAM122A	17	4.581e-05	0.0042415	0.471206	195	9	-0.38192	0.22772	0.4964	1.0	10537	5	-0.38192
YTHDF2	18	4.5903e-05	0.004483	0.471206	196	13	-0.8648	0.98705	0.99503	1.0	20273	3	-0.8648
WDR24	18	4.6624e-05	0.0044976	0.471206	197	13	-0.76179	0.29885	0.59622	1.0	11876	2	-0.76179
LAD1	17	4.6783e-05	0.0043899	0.471206	198	9	-0.24349	0.37137	0.66248	1.0	13067	5	-0.24349
ARHGAP4	18	4.6807e-05	0.0045362	0.472963	199	10	-0.4043	0.91675	0.97576	1.0	19438	3	-0.4043
SLC25A42	18	4.8989e-05	0.0048774	0.496793	200	14	-0.47078	0.99728	0.9983	1.0	20497	1	-0.47078
ZC3HC1	18	4.9015e-05	0.0048793	0.496793	201	14	-0.48369	0.26192	0.55316	1.0	11274	4	-0.48369
CDRT15L2	18	5.0018e-05	0.00494	0.498556	202	7	-0.021133	0.24769	0.5299	1.0	10972	6	-0.021133
DMRT2	18	5.0336e-05	0.0049478	0.498556	203	10	-0.19505	0.92093	0.97674	1.0	19483	2	-0.19505
SLC16A8	18	5.0716e-05	0.0049656	0.498556	204	5	0.082637	0.0062781	0.029777	0.308957	2052	9	0.082637
VWA3B	18	5.1336e-05	0.0050062	0.500319	205	13	-0.52962	0.7743	0.92613	1.0	18006	2	-0.52962
LOC100130357	18	5.3021e-05	0.0051454	0.508826	206	13	-0.81554	0.85561	0.95472	1.0	18772	3	-0.81554
FTCD	18	5.3306e-05	0.0051591	0.508826	207	14	-0.5064	0.85669	0.95508	1.0	18790	3	-0.5064
hsa-mir-27a	12	5.3681e-05	0.0036882	0.462315	208	9	-0.64357	0.86561	0.93765	1.0	18889	1	-0.64357
TYK2	18	5.387e-05	0.0051852	0.508826	209	13	-0.61425	0.74661	0.91389	1.0	17715	4	-0.61425
hsa-mir-4748	12	5.5246e-05	0.0037886	0.462315	210	11	-0.92937	0.99987	0.99963	1.0	20640	0	-0.92937
hsa-mir-30a	12	5.5551e-05	0.0037945	0.462315	211	8	-0.66848	0.9985	0.99678	1.0	20559	0	-0.66848
CCS	18	5.7815e-05	0.0055938	0.53207	212	13	-0.70953	0.4947	0.77397	1.0	14763	2	-0.70953
CT47A9	12	5.8139e-05	0.0038676	0.465979	213	6	-0.092784	0.89367	0.9507	1.0	19223	3	-0.092784
STAT1	17	5.8762e-05	0.0053623	0.516854	214	9	-0.95477	0.35342	0.64611	1.0	12811	4	-0.95477
AIRE	18	6.1249e-05	0.0058923	0.546789	215	11	-0.71296	0.91668	0.97574	1.0	19437	3	-0.71296
hsa-mir-4737	12	6.1575e-05	0.0040242	0.467332	216	9	-0.50133	0.99518	0.99249	1.0	20438	1	-0.50133
DIP2A	18	6.1618e-05	0.0059019	0.546789	217	10	-0.26439	0.7984	0.93544	1.0	18228	4	-0.26439
USP10	17	6.184e-05	0.0057627	0.543371	218	13	-0.94611	0.33177	0.6262	1.0	12444	4	-0.94611
CHST8	18	6.274e-05	0.0059257	0.546789	219	12	-0.51868	0.91216	0.97464	1.0	19396	1	-0.51868
NHLRC1	18	6.3825e-05	0.0059672	0.546789	220	13	-0.59462	0.87742	0.96322	1.0	19030	4	-0.59462
