sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibA_31678_r1	NELFCD	88619	2.3517e+05	88619	2.3517e+05	1.408	1.0739e+10	2.3324e+07	30.346	1	1.4161e-202	2.8322e-202	3.7085e-200	True
HGLibB_31630_r2	NELFB	24646	77298	24646	77298	1.649	1.3861e+09	3.4815e+06	28.218	1	1.744e-175	3.4881e-175	4.3136e-173	True
HGLibA_19076_r0	GIMAP2	4.877	114.54	4.877	114.54	4.2972	6013	15.459	27.891	1	1.8958e-171	3.7916e-171	4.4421e-169	True
HGLibB_31630_r1	NELFB	17159	53536	17159	53536	1.6415	6.6164e+08	2.0335e+06	25.51	1	7.7004e-144	1.5401e-143	1.7141e-141	True
HGLibB_31627_r2	NELFA	64509	1.5953e+05	64509	1.5953e+05	1.3062	4.5145e+09	1.4547e+07	24.914	1	2.6403e-137	5.2807e-137	5.5975e-135	True
HGLibB_31627_r0	NELFA	63474	1.5684e+05	63474	1.5684e+05	1.305	4.3582e+09	1.4201e+07	24.775	1	8.3505e-136	1.6701e-135	1.6898e-133	True
HGLibB_31627_r1	NELFA	69213	1.6872e+05	69213	1.6872e+05	1.2855	4.9508e+09	1.6151e+07	24.76	1	1.2128e-135	2.4257e-135	2.3476e-133	True
HGLibB_31632_r0	NELFB	15715	48203	15715	48203	1.6169	5.2774e+08	1.7846e+06	24.32	1	6.065e-131	1.213e-130	1.125e-128	True
HGLibB_13894_r0	DPY30	47271	1.1648e+05	47271	1.1648e+05	1.3011	2.3951e+09	9.163e+06	22.864	1	5.2536e-116	1.0507e-115	9.3557e-114	True
HGLibB_13894_r1	DPY30	44660	1.0746e+05	44660	1.0746e+05	1.2667	1.9716e+09	8.421e+06	21.639	1	3.8223e-104	7.6446e-104	6.5449e-102	True
HGLibB_31632_r1	NELFB	28779	70795	28779	70795	1.2986	8.8269e+08	4.383e+06	20.069	1	6.846e-90	1.3692e-89	1.1288e-87	True
HGLibB_13894_r2	DPY30	12619	34438	12619	34438	1.4483	2.3803e+08	1.2886e+06	19.221	1	1.2371e-82	2.4742e-82	1.967e-80	True
HGLibB_40378_r2	RBBP4	28894	66845	28894	66845	1.21	7.2012e+08	4.4092e+06	18.073	1	2.5841e-73	5.1683e-73	3.9671e-71	True
HGLibA_40429_r1	RBBP4	25905	59566	25905	59566	1.2012	5.6654e+08	3.7489e+06	17.385	1	5.3536e-68	1.0707e-67	7.9448e-66	True
HGLibB_40378_r1	RBBP4	26109	59740	26109	59740	1.1941	5.6554e+08	3.7928e+06	17.269	1	4.0171e-67	8.0341e-67	5.769e-65	True
HGLibB_37024_r0	PLEKHA4	3.9016	53.221	3.9016	53.221	3.4675	1216.2	11.492	14.548	1	3.4202e-48	6.8403e-48	4.7583e-46	True
HGLibB_40378_r0	RBBP4	34336	68101	34336	68101	0.98794	5.7005e+08	5.6977e+06	14.146	1	9.9352e-46	1.987e-45	1.3403e-43	True
HGLibA_40429_r0	RBBP4	19716	41865	19716	41865	1.0864	2.4529e+08	2.4992e+06	14.011	1	6.7048e-45	1.341e-44	8.7794e-43	True
HGLibB_31628_r2	NELFA	88653	1.5167e+05	88653	1.5167e+05	0.77466	1.9854e+09	2.3337e+07	13.044	1	3.4375e-39	6.875e-39	4.3725e-37	True
HGLibB_12174_r0	CYP4F2	1.4728e+05	65150	1.4728e+05	65150	-1.1767	3.3726e+09	4.9648e+07	11.656	1.0704e-31	1	2.1409e-31	1.3238e-29	False
HGLibA_40429_r2	RBBP4	19111	36481	19111	36481	0.93273	1.5087e+08	2.3862e+06	11.245	1	1.2249e-29	2.4499e-29	1.4739e-27	True
HGLibA_13918_r2	DPY30	52555	88831	52555	88831	0.75722	6.5797e+08	1.0726e+07	11.076	1	8.1747e-29	1.6349e-28	9.5773e-27	True
HGLibB_25162_r0	KLHL36	26808	48752	26808	48752	0.86279	2.4078e+08	3.9446e+06	11.049	1	1.1083e-28	2.2167e-28	1.2652e-26	True
HGLibB_31628_r0	NELFA	2.7034e+05	3.9231e+05	2.7034e+05	3.9231e+05	0.53719	7.4375e+09	1.2254e+08	11.017	1	1.5738e-28	3.1476e-28	1.7516e-26	True
HGLibB_12174_r1	CYP4F2	1.208e+05	54436	1.208e+05	54436	-1.15	2.2023e+09	3.6974e+07	10.914	4.9165e-28	1	9.833e-28	5.3386e-26	False
HGLibB_12174_r2	CYP4F2	1.3083e+05	65141	1.3083e+05	65141	-1.0061	2.1576e+09	4.163e+07	10.181	1.2032e-24	1	2.4064e-24	1.2754e-22	False
HGLibA_44026_r1	SHFM1	31554	9069.3	31554	9069.3	-1.7987	2.5279e+08	5.0255e+06	10.03	5.6236e-24	1	1.1247e-23	5.8224e-22	False
HGLibA_21881_r1	HOOK3	75390	34046	75390	34046	-1.1469	8.5467e+08	1.834e+07	9.6541	2.3605e-22	1	4.721e-22	2.3884e-20	False
HGLibA_13918_r0	DPY30	64934	1.0189e+05	64934	1.0189e+05	0.64996	6.8289e+08	1.4689e+07	9.6425	1	2.6444e-22	5.2888e-22	2.6162e-20	True
HGLibA_33875_r0	OR2T33	1.0889e+05	1.6247e+05	1.0889e+05	1.6247e+05	0.5773	1.4355e+09	3.1685e+07	9.5189	1	8.7503e-22	1.7501e-21	8.4687e-20	True
HGLibA_03695_r0	ATP6AP1	36700	13266	36700	13266	-1.468	2.7459e+08	6.2903e+06	9.3437	4.6503e-21	1	9.3006e-21	4.4049e-19	False
HGLibA_19492_r2	GNB2L1	27550	9490.5	27550	9490.5	-1.5374	1.6308e+08	4.108e+06	8.9104	2.5425e-19	1	5.0849e-19	2.3581e-17	False
HGLibB_03693_r1	ATP6AP1	24920	8534.6	24920	8534.6	-1.5458	1.3425e+08	3.5392e+06	8.71	1.5196e-18	1	3.0392e-18	1.3807e-16	False
HGLibB_49654_r0	TM7SF2	82861	42875	82861	42875	-0.95055	7.9945e+08	2.1107e+07	8.7036	1.6072e-18	1	3.2145e-18	1.4311e-16	False
HGLibA_19492_r0	GNB2L1	43025	18702	43025	18702	-1.2019	2.9579e+08	7.9669e+06	8.6171	3.4323e-18	1	6.8645e-18	2.9962e-16	False
HGLibB_03693_r0	ATP6AP1	54909	25841	54909	25841	-1.0874	4.2248e+08	1.1448e+07	8.5912	4.3041e-18	1	8.6082e-18	3.685e-16	False
HGLibA_44026_r0	SHFM1	26779	9764.8	26779	9764.8	-1.4553	1.4473e+08	3.9382e+06	8.5734	5.0244e-18	1	1.0049e-17	4.2205e-16	False
HGLibA_39970_r0	RAB6A	90269	48418	90269	48418	-0.89868	8.7577e+08	2.3973e+07	8.5477	6.278e-18	1	1.2556e-17	5.1759e-16	False
HGLibA_09623_r0	CHST13	1.5121e+05	90064	1.5121e+05	90064	-0.7475	1.8692e+09	5.1631e+07	8.5093	8.7486e-18	1	1.7497e-17	7.0816e-16	False
HGLibA_03332_r2	ASNA1	1.002e+05	55395	1.002e+05	55395	-0.85499	1.0036e+09	2.7996e+07	8.4672	1.2567e-17	1	2.5133e-17	9.9906e-16	False
HGLibA_03332_r0	ASNA1	78631	41335	78631	41335	-0.92772	6.9549e+08	1.9525e+07	8.4405	1.5795e-17	1	3.159e-17	1.2337e-15	False
HGLibB_49654_r2	TM7SF2	54546	26888	54546	26888	-1.0205	3.8248e+08	1.1336e+07	8.2148	1.063e-16	1	2.1259e-16	8.1592e-15	False
HGLibA_44026_r2	SHFM1	29212	11867	29212	11867	-1.2995	1.5042e+08	4.4814e+06	8.1933	1.2705e-16	1	2.5409e-16	9.5866e-15	False
HGLibA_44028_r0	SHFM1	56638	29107	56638	29107	-0.96037	3.7897e+08	1.1988e+07	7.9514	9.2198e-16	1	1.844e-15	6.8411e-14	False
HGLibB_43973_r2	SHFM1	50438	25249	50438	25249	-0.99827	3.1724e+08	1.009e+07	7.9298	1.0972e-15	1	2.1945e-15	8.008e-14	False
HGLibB_33083_r0	NXF1	23102	9550.8	23102	9550.8	-1.2743	9.1822e+07	3.1625e+06	7.6203	1.2655e-14	1	2.5311e-14	9.0873e-13	False
HGLibA_54609_r0	XRRA1	59945	87198	59945	87198	0.54065	3.7137e+08	1.3043e+07	7.5462	1	2.2414e-14	4.4827e-14	1.5839e-12	True
HGLibA_30519_r2	MUC1	79891	1.1343e+05	79891	1.1343e+05	0.50566	5.6235e+08	1.9992e+07	7.5005	1	3.1779e-14	6.3558e-14	2.2106e-12	True
HGLibB_33083_r1	NXF1	38795	19211	38795	19211	-1.0139	1.9176e+08	6.8313e+06	7.4929	3.3688e-14	1	6.7376e-14	2.3074e-12	False
HGLibB_03693_r2	ATP6AP1	45164	23361	45164	23361	-0.95105	2.3769e+08	8.5626e+06	7.451	4.631e-14	1	9.2619e-14	3.1238e-12	False
HGLibA_33173_r0	NXT1	1.7105e+05	1.1294e+05	1.7105e+05	1.1294e+05	-0.59881	1.6882e+09	6.2025e+07	7.3781	8.0304e-14	1	1.6061e-13	5.336e-12	False
HGLibA_44028_r1	SHFM1	68067	38893	68067	38893	-0.80745	4.2558e+08	1.5755e+07	7.3501	9.9032e-14	1	1.9806e-13	6.4837e-12	False
HGLibA_53765_r1	VPS33A	63692	36155	63692	36155	-0.81691	3.7915e+08	1.4273e+07	7.2888	1.5637e-13	1	3.1274e-13	1.0089e-11	False
HGLibB_43973_r1	SHFM1	39821	20423	39821	20423	-0.96327	1.8813e+08	7.1013e+06	7.279	1.6811e-13	1	3.3623e-13	1.0692e-11	False
HGLibA_02317_r2	AP2S1	18231	29080	18231	29080	0.67358	5.8846e+07	2.2249e+06	7.2731	1	1.7561e-13	3.5121e-13	1.1011e-11	True
HGLibB_57301_r0	NonTargetingControlGuideForHuman_0273	3.008e+05	2.1375e+05	3.008e+05	2.1375e+05	-0.49288	3.789e+09	1.4364e+08	7.2633	1.8885e-13	1	3.7771e-13	1.1678e-11	False
HGLibA_09623_r1	CHST13	92723	56648	92723	56648	-0.7109	6.5071e+08	2.4948e+07	7.2225	2.5517e-13	1	5.1035e-13	1.5562e-11	False
HGLibA_33085_r0	NUPL2	48499	26271	48499	26271	-0.88444	2.4703e+08	9.519e+06	7.2043	2.9161e-13	1	5.8322e-13	1.7544e-11	False
HGLibB_49654_r1	TM7SF2	48638	26502	48638	26502	-0.87592	2.4499e+08	9.5596e+06	7.1592	4.0572e-13	1	8.1144e-13	2.4083e-11	False
HGLibA_39970_r2	RAB6A	51762	28822	51762	28822	-0.8447	2.6312e+08	1.0486e+07	7.084	7.0032e-13	1	1.4006e-12	4.1024e-11	False
HGLibA_03695_r1	ATP6AP1	22233	10099	22233	10099	-1.1384	7.3612e+07	2.9874e+06	7.0201	1.1083e-12	1	2.2166e-12	6.4079e-11	False
HGLibA_33173_r2	NXT1	1.3498e+05	88722	1.3498e+05	88722	-0.60539	1.0699e+09	4.3609e+07	7.005	1.2353e-12	1	2.4706e-12	7.0506e-11	False
HGLibA_25198_r1	KLHL36	40015	58465	40015	58465	0.54701	1.7019e+08	7.1529e+06	6.8983	1	2.6308e-12	5.2616e-12	1.4826e-10	True
HGLibA_19492_r1	GNB2L1	20073	9134.9	20073	9134.9	-1.1357	5.9819e+07	2.5667e+06	6.8273	4.3265e-12	1	8.6531e-12	2.4077e-10	False
HGLibB_43973_r0	SHFM1	44938	25132	44938	25132	-0.83839	1.9614e+08	8.4989e+06	6.7938	5.4605e-12	1	1.0921e-11	3.0012e-10	False
HGLibA_13918_r1	DPY30	42792	61757	42792	61757	0.52923	1.7982e+08	7.903e+06	6.7459	1	7.6063e-12	1.5213e-11	4.1297e-10	True
HGLibA_03695_r2	ATP6AP1	24261	11840	24261	11840	-1.0349	7.7146e+07	3.4011e+06	6.7354	8.1726e-12	1	1.6345e-11	4.3837e-10	False
HGLibA_03332_r1	ASNA1	57942	34684	57942	34684	-0.74033	2.7047e+08	1.24e+07	6.6047	1.9912e-11	1	3.9823e-11	1.0553e-09	False
HGLibA_33173_r1	NXT1	1.1167e+05	74214	1.1167e+05	74214	-0.58949	7.0152e+08	3.2895e+07	6.5309	3.2696e-11	1	6.5392e-11	1.7125e-09	False
HGLibA_61824_r0	hsa-mir-544a	385.28	947.56	385.28	947.56	1.2961	1.5808e+05	7462.3	6.509	1	3.7838e-11	7.5676e-11	1.9588e-09	True
HGLibA_03333_r0	ASNA1	87552	56765	87552	56765	-0.62511	4.739e+08	2.2908e+07	6.4323	6.2831e-11	1	1.2566e-10	3.2152e-09	False
HGLibB_09612_r1	CHST13	1.7902e+05	1.2679e+05	1.7902e+05	1.2679e+05	-0.49769	1.3641e+09	6.6374e+07	6.4112	7.218e-11	1	1.4436e-10	3.6516e-09	False
HGLibB_31118_r1	NASP	57228	79512	57228	79512	0.47444	2.4828e+08	1.2174e+07	6.3866	1	8.4811e-11	1.6962e-10	4.2425e-09	True
HGLibB_09612_r0	CHST13	3.6064e+05	2.739e+05	3.6064e+05	2.739e+05	-0.39688	3.7614e+09	1.8815e+08	6.3232	1.2809e-10	1	2.5617e-10	6.336e-09	False
HGLibA_16660_r2	FAM63A	35441	50796	35441	50796	0.51928	1.1789e+08	5.9723e+06	6.2831	1	1.6595e-10	3.3191e-10	8.119e-09	True
HGLibA_15789_r2	EXOSC7	18000	27204	18000	27204	0.59577	4.2354e+07	2.1832e+06	6.2289	1	2.348e-10	4.696e-10	1.1362e-08	True
HGLibA_10478_r0	COG4	32565	18274	32565	18274	-0.83346	1.0211e+08	5.2665e+06	6.2271	2.3763e-10	1	4.7525e-10	1.1375e-08	False
HGLibA_39970_r1	RAB6A	40937	24006	40937	24006	-0.76999	1.4333e+08	7.3991e+06	6.2243	2.4184e-10	1	4.8368e-10	1.1454e-08	False
HGLibB_28701_r2	MED12	15520	23681	15520	23681	0.60953	3.3297e+07	1.7519e+06	6.1654	1	3.5155e-10	7.031e-10	1.6475e-08	True
HGLibA_29439_r2	MLX	73470	99166	73470	99166	0.43269	3.3015e+08	1.765e+07	6.1164	1	4.7853e-10	9.5705e-10	2.2192e-08	True
HGLibB_15762_r2	EXOSC5	35892	50733	35892	50733	0.49925	1.1013e+08	6.0857e+06	6.016	1	8.9363e-10	1.7873e-09	4.1015e-08	True
HGLibB_31119_r1	NASP	80214	53357	80214	53357	-0.58818	3.6066e+08	2.0112e+07	5.9888	1.0571e-09	1	2.1142e-09	4.8024e-08	False
HGLibB_45564_r1	SMARCB1	30908	17782	30908	17782	-0.79758	8.6157e+07	4.8734e+06	5.9462	1.3719e-09	1	2.7438e-09	6.1695e-08	False
HGLibA_25198_r2	KLHL36	65705	88451	65705	88451	0.42887	2.587e+08	1.4949e+07	5.883	1	2.0141e-09	4.0281e-09	8.9666e-08	True
HGLibA_21455_r2	HIST1H3A	1.4933e+05	1.9111e+05	1.4933e+05	1.9111e+05	0.3559	8.7278e+08	5.0679e+07	5.8689	1	2.194e-09	4.3881e-09	9.6711e-08	True
HGLibB_40703_r0	RDM1	28967	41278	28967	41278	0.51094	7.5779e+07	4.4258e+06	5.8519	1	2.4303e-09	4.8607e-09	1.0608e-07	True
HGLibB_45564_r2	SMARCB1	38183	23099	38183	23099	-0.72506	1.1376e+08	6.6716e+06	5.8397	2.6149e-09	1	5.2298e-09	1.1302e-07	False
HGLibA_47064_r0	SRSF10	37719	22844	37719	22844	-0.72342	1.1062e+08	6.5515e+06	5.8112	3.1004e-09	1	6.2008e-09	1.3272e-07	False
HGLibA_44028_r2	SHFM1	41809	25842	41809	25842	-0.69404	1.2746e+08	7.6345e+06	5.7785	3.7693e-09	1	7.5385e-09	1.5982e-07	False
HGLibA_15789_r1	EXOSC7	46309	63517	46309	63517	0.45584	1.4806e+08	8.8874e+06	5.7722	1	3.9115e-09	7.8231e-09	1.6357e-07	True
HGLibB_33131_r2	NXT1	59652	38884	59652	38884	-0.61737	2.1565e+08	1.2949e+07	5.7714	3.9313e-09	1	7.8626e-09	1.6357e-07	False
HGLibB_52080_r2	TTC40	95424	1.2484e+05	95424	1.2484e+05	0.38768	4.3273e+08	2.6037e+07	5.7654	1	4.0725e-09	8.145e-09	1.6788e-07	True
HGLibA_45621_r2	SMARCB1	55772	36048	55772	36048	-0.6296	1.9452e+08	1.1717e+07	5.7623	4.1494e-09	1	8.2989e-09	1.6948e-07	False
HGLibA_03694_r1	ATP6AP1	14999	7588.6	14999	7588.6	-0.98289	2.7459e+07	1.6653e+06	5.7426	4.6615e-09	1	9.3229e-09	1.8866e-07	False
HGLibA_29439_r1	MLX	64031	85705	64031	85705	0.42059	2.3487e+08	1.4387e+07	5.7141	1	5.5144e-09	1.1029e-08	2.2117e-07	True
HGLibA_25198_r0	KLHL36	71152	94546	71152	94546	0.4101	2.7364e+08	1.6829e+07	5.7027	1	5.8979e-09	1.1796e-08	2.3444e-07	True
HGLibB_04796_r1	BRF1	29571	41729	29571	41729	0.49685	7.3906e+07	4.5635e+06	5.6912	1	6.3062e-09	1.2612e-08	2.4845e-07	True
HGLibB_10654_r2	COMMD4	51380	69553	51380	69553	0.43689	1.6513e+08	1.0372e+07	5.6429	1	8.3629e-09	1.6726e-08	3.2659e-07	True
HGLibA_10478_r1	COG4	29947	17928	29947	17928	-0.74018	7.2229e+07	4.6499e+06	5.5738	1.2462e-08	1	2.4925e-08	4.8246e-07	False
HGLibA_21140_r1	HEPACAM2	44755	60947	44755	60947	0.44549	1.3109e+08	8.4478e+06	5.5709	1	1.2673e-08	2.5347e-08	4.864e-07	True
HGLibA_53765_r0	VPS33A	16872	9031.3	16872	9031.3	-0.90159	3.0742e+07	1.9832e+06	5.568	1.2886e-08	1	2.5772e-08	4.9033e-07	False
HGLibB_44125_r1	SIM2	42833	27213	42833	27213	-0.65441	1.2199e+08	7.9142e+06	5.5524	1.4089e-08	1	2.8177e-08	5.3155e-07	False
HGLibA_45621_r0	SMARCB1	43602	27853	43602	27853	-0.64656	1.2402e+08	8.1263e+06	5.5248	1.6491e-08	1	3.2982e-08	6.1695e-07	False
HGLibA_21881_r0	HOOK3	79797	55281	79797	55281	-0.52955	3.0053e+08	1.9957e+07	5.4879	2.0332e-08	1	4.0664e-08	7.5431e-07	False
HGLibA_33085_r2	NUPL2	82479	57426	82479	57426	-0.52231	3.1382e+08	2.0962e+07	5.4719	2.2262e-08	1	4.4525e-08	8.191e-07	False
HGLibA_49412_r2	THTPA	2.1458e+05	2.6517e+05	2.1458e+05	2.6517e+05	0.30541	1.2797e+09	8.6901e+07	5.427	1	2.8659e-08	5.7318e-08	1.0458e-06	True
HGLibA_45621_r1	SMARCB1	37105	23449	37105	23449	-0.66206	9.3243e+07	6.3938e+06	5.4006	3.3203e-08	1	6.6405e-08	1.2018e-06	False
HGLibA_28769_r2	MED19	84118	1.0911e+05	84118	1.0911e+05	0.37525	3.1222e+08	2.1585e+07	5.3787	1	3.7519e-08	7.5038e-08	1.3471e-06	True
HGLibB_57301_r1	NonTargetingControlGuideForHuman_0273	1.7476e+05	1.3202e+05	1.7476e+05	1.3202e+05	-0.40465	9.1346e+08	6.4035e+07	5.3413	4.6131e-08	1	9.2262e-08	1.643e-06	False
HGLibB_45564_r0	SMARCB1	21179	12277	21179	12277	-0.78667	3.9625e+07	2.7795e+06	5.3397	4.6546e-08	1	9.3092e-08	1.6446e-06	False
HGLibB_33083_r2	NXF1	25455	15277	25455	15277	-0.73654	5.1795e+07	3.6526e+06	5.3255	5.0339e-08	1	1.0068e-07	1.7646e-06	False
HGLibB_54370_r0	WTIP	18314	26265	18314	26265	0.52019	3.1612e+07	2.2399e+06	5.3128	1	5.3971e-08	1.0794e-07	1.8772e-06	True
HGLibB_57988_r0	NonTargetingControlGuideForHuman_0960	1.0909e+05	79414	1.0909e+05	79414	-0.458	4.4023e+08	3.1769e+07	5.2644	7.0319e-08	1	1.4064e-07	2.4268e-06	False
HGLibA_27675_r2	LY6H	34072	46528	34072	46528	0.44949	7.7572e+07	5.6327e+06	5.2482	1	7.6806e-08	1.5361e-07	2.6303e-06	True
HGLibB_32218_r2	NOL12	53351	70622	53351	70622	0.40459	1.4914e+08	1.0969e+07	5.2148	1	9.2032e-08	1.8406e-07	3.1277e-06	True
HGLibB_20576_r2	GTPBP2	20942	29534	20942	29534	0.49599	3.6916e+07	2.7334e+06	5.1972	1	1.0116e-07	2.0232e-07	3.4118e-06	True
HGLibA_33125_r2	NXF1	16448	9275.4	16448	9275.4	-0.82636	2.5723e+07	1.9096e+06	5.1904	1.049e-07	1	2.0979e-07	3.5113e-06	False
HGLibA_53765_r2	VPS33A	38963	25364	38963	25364	-0.61931	9.2466e+07	6.8751e+06	5.1864	1.072e-07	1	2.144e-07	3.5616e-06	False
HGLibA_02317_r0	AP2S1	17754	25257	17754	25257	0.50848	2.8143e+07	2.139e+06	5.1297	1	1.451e-07	2.9019e-07	4.785e-06	True
HGLibA_13916_r2	DPY30	62465	81539	62465	81539	0.38445	1.8192e+08	1.3866e+07	5.1224	1	1.5082e-07	3.0164e-07	4.9201e-06	True
HGLibA_45727_r1	SMIM13	59040	77329	59040	77329	0.38931	1.6725e+08	1.2752e+07	5.1217	1	1.5141e-07	3.0281e-07	4.9201e-06	True
HGLibB_02315_r1	AP2S1	49554	65575	49554	65575	0.40413	1.2833e+08	9.8285e+06	5.1101	1	1.6096e-07	3.2191e-07	5.1926e-06	True
HGLibB_33131_r0	NXT1	70752	49909	70752	49909	-0.50345	2.172e+08	1.6688e+07	5.1021	1.6799e-07	1	3.3598e-07	5.3805e-06	False
HGLibA_13916_r1	DPY30	58993	77182	58993	77182	0.38772	1.6543e+08	1.2736e+07	5.0968	1	1.7275e-07	3.4551e-07	5.4935e-06	True
HGLibA_39969_r0	RAB6A	62894	43877	62894	43877	-0.51945	1.8082e+08	1.4008e+07	5.081	1.8776e-07	1	3.7551e-07	5.9283e-06	False
HGLibA_45727_r2	SMIM13	1.0166e+05	1.288e+05	1.0166e+05	1.288e+05	0.3414	3.6832e+08	2.8605e+07	5.0747	1	1.941e-07	3.882e-07	6.0814e-06	True
HGLibA_19242_r2	GLE1	37312	24430	37312	24430	-0.61095	8.297e+07	6.4468e+06	5.0734	1.9534e-07	1	3.9067e-07	6.0814e-06	False
HGLibA_19242_r1	GLE1	41094	27320	41094	27320	-0.58897	9.4867e+07	7.4414e+06	5.0494	2.2154e-07	1	4.4309e-07	6.8494e-06	False
HGLibA_19494_r1	GNB2L1	16560	9562.8	16560	9562.8	-0.7921	2.4478e+07	1.9289e+06	5.0379	2.353e-07	1	4.7061e-07	7.2246e-06	False
HGLibB_10467_r1	COG4	57662	40020	57662	40020	-0.5269	1.5563e+08	1.2312e+07	5.0281	2.4774e-07	1	4.9549e-07	7.5545e-06	False
HGLibB_57344_r2	NonTargetingControlGuideForHuman_0316	69410	89594	69410	89594	0.36824	2.0368e+08	1.622e+07	5.0115	1	2.7e-07	5.4e-07	8.1772e-06	True
HGLibA_40056_r2	RAD17	17812	25143	17812	25143	0.49734	2.6878e+07	2.1493e+06	5.0011	1	2.8507e-07	5.7015e-07	8.5419e-06	True
HGLibA_51063_r0	TP53I13	16474	23392	16474	23392	0.50581	2.393e+07	1.914e+06	5.0005	1	2.8588e-07	5.7176e-07	8.5419e-06	True
HGLibA_47892_r1	SVOP	1.7089e+05	1.3156e+05	1.7089e+05	1.3156e+05	-0.37741	7.737e+08	6.194e+07	4.9982	2.893e-07	1	5.7859e-07	8.5863e-06	False
HGLibA_21455_r1	HIST1H3A	1.325e+05	1.6504e+05	1.325e+05	1.6504e+05	0.31683	5.2944e+08	4.2421e+07	4.9961	1	2.9249e-07	5.8497e-07	8.6041e-06	True
HGLibA_31080_r2	NAIP	30470	41381	30470	41381	0.44157	5.9526e+07	4.7711e+06	4.9953	1	2.9376e-07	5.8752e-07	8.6041e-06	True
HGLibB_33040_r1	NUPL2	52212	35959	52212	35959	-0.53803	1.3209e+08	1.0622e+07	4.987	3.0666e-07	1	6.1331e-07	8.9231e-06	False
HGLibA_24944_r2	KIF4A	15668	22302	15668	22302	0.50934	2.2006e+07	1.7767e+06	4.9771	1	3.2264e-07	6.4529e-07	9.3273e-06	True
HGLibA_19494_r0	GNB2L1	11542	6266.1	11542	6266.1	-0.88113	1.3917e+07	1.1288e+06	4.9657	3.4224e-07	1	6.8447e-07	9.8299e-06	False
HGLibB_52080_r0	TTC40	1.1586e+05	1.4508e+05	1.1586e+05	1.4508e+05	0.32448	4.2697e+08	3.4748e+07	4.9573	1	3.5736e-07	7.1473e-07	1.0199e-05	True
HGLibB_33131_r1	NXT1	57970	40517	57970	40517	-0.51678	1.5231e+08	1.241e+07	4.9546	3.6247e-07	1	7.2495e-07	1.0279e-05	False
HGLibA_19830_r1	GPN3	15131	8709.6	15131	8709.6	-0.79673	2.0615e+07	1.687e+06	4.9437	3.8331e-07	1	7.6662e-07	1.0801e-05	False
HGLibA_36588_r1	PIGT	68402	48792	68402	48792	-0.48741	1.9229e+08	1.5871e+07	4.9226	4.2691e-07	1	8.5381e-07	1.1953e-05	False
