id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CYP4F2	16	7.6453e-05	0.0027484	0.812753	37	13	-5.6415	0.99993	0.99999	1.0	20652	0	-5.6415
RAB9B	16	8.054e-05	0.0028042	0.812753	38	8	-0.47469	0.34729	0.74019	1.0	13626	5	-0.47469
CAST	17	8.0728e-05	0.0030948	0.812753	39	13	-6.4431	0.71423	0.95008	1.0	18551	4	-6.4431
ERMARD	16	8.9828e-05	0.0031149	0.812753	40	14	-6.0773	0.9957	0.99938	1.0	20588	1	-6.0773
LATS2	13	9.5122e-05	0.0028903	0.812753	41	10	-5.2534	0.47004	0.81377	1.0	15681	2	-5.2534
EBPL	18	9.8233e-05	0.0035931	0.812753	42	6	0.28202	0.11951	0.44244	1.0	7580	8	0.28202
hsa-mir-421	11	9.9102e-05	0.0026798	0.812753	43	10	-6.2772	0.99654	0.99837	1.0	20597	0	-6.2772
C9orf50	14	0.00010078	0.0030294	0.812753	44	7	-3.2696	0.2153	0.56466	1.0	10607	3	-3.2696
SLC9A5	13	0.00011013	0.0031753	0.812753	45	8	-6.3221	0.73033	0.93617	1.0	18694	4	-6.3221
PCBP3	18	0.00011397	0.0040978	0.812753	46	7	-0.2926	0.23784	0.63968	1.0	11214	7	-0.2926
SH3BGR	13	0.00011888	0.0034215	0.812753	47	11	-6.0165	0.74697	0.94112	1.0	18845	2	-6.0165
NCLN	17	0.00012238	0.0039161	0.812753	48	9	-0.67033	0.3848	0.78047	1.0	14293	4	-0.67033
ISOC1	15	0.00012378	0.0035414	0.812753	49	11	-6.0934	0.10186	0.37271	1.0	6844	3	-6.0934
MED16	15	0.00012584	0.0035428	0.812753	50	6	0.035238	0.18995	0.54861	1.0	9899	3	0.035238
FTSJD2	16	0.00012785	0.003928	0.812753	51	10	-3.4165	0.29265	0.68399	1.0	12490	3	-3.4165
SFMBT2	15	0.00012789	0.0039781	0.812753	52	9	-1.1249	0.90091	0.98654	1.0	19976	3	-1.1249
hsa-mir-1587	12	0.00013179	0.0032518	0.812753	53	6	-2.6902	0.85679	0.96845	1.0	19694	3	-2.6902
SEMA7A	18	0.00013562	0.0044533	0.812753	54	11	-5.9758	0.59018	0.91066	1.0	17276	4	-5.9758
ARHGEF3	17	0.00014501	0.0045522	0.812753	55	13	-5.7619	0.74959	0.95753	1.0	18868	4	-5.7619
LEFTY1	18	0.00014637	0.004479	0.812753	56	7	-0.24499	0.30751	0.70974	1.0	12801	3	-0.24499
ATP5D	17	0.00015246	0.0045984	0.812753	57	8	-0.38186	0.10149	0.38721	1.0	6826	3	-0.38186
EREG	16	0.00015867	0.004738	0.812753	58	10	-5.3851	0.42108	0.8023	1.0	14934	4	-5.3851
THRB	14	0.00016443	0.0041962	0.812753	59	6	-0.11795	0.44732	0.80886	1.0	15315	4	-0.11795
MYO16	18	0.00016451	0.0050605	0.812753	60	10	-6.3576	0.31293	0.7165	1.0	12911	4	-6.3576
TNFSF14	16	0.0001654	0.0049237	0.812753	61	12	-6.0165	0.25774	0.64559	1.0	11696	4	-6.0165
AP2S1	15	0.00017025	0.0049041	0.812753	62	11	-5.5851	0.18771	0.5426	1.0	9833	2	-5.5851
IL2	14	0.00017393	0.0043261	0.812753	63	10	-5.993	0.93925	0.99058	1.0	20219	3	-5.993
TDG	11	0.00017438	0.0033735	0.812753	64	10	-6.644	0.65116	0.89563	1.0	17909	1	-6.644
GJB5	18	0.00018151	0.0052941	0.812753	65	9	-0.37582	0.078064	0.33515	1.0	5785	7	-0.37582
DIMT1	13	0.00018727	0.0041861	0.812753	66	11	-5.0849	0.24237	0.59605	1.0	11319	2	-5.0849
TRIM28	18	0.00019262	0.0058265	0.812753	67	10	-3.4991	0.77443	0.96789	1.0	19050	4	-3.4991
SCYL1	14	0.00019942	0.0044671	0.812753	68	11	-5.8674	0.99907	0.99963	1.0	20632	0	-5.8674
HMG20A	15	0.00020081	0.0049274	0.812753	69	12	-6.5393	0.68915	0.93152	1.0	18306	3	-6.5393
GNS	18	0.00020233	0.006086	0.812753	70	13	-5.7949	0.18212	0.54855	1.0	9671	4	-5.7949
RNF31	16	0.00020279	0.0057972	0.812753	71	11	-5.3987	0.65093	0.92731	1.0	17906	3	-5.3987
BACH1	16	0.00020512	0.0058059	0.812753	72	14	-5.3538	0.9702	0.99645	1.0	20406	1	-5.3538
HLCS	10	0.0002124	0.0032518	0.812753	73	8	-5.3977	0.3741	0.71477	1.0	14111	2	-5.3977
ALDH8A1	18	0.00021277	0.0065014	0.812753	74	13	-5.4622	0.92325	0.99214	1.0	20122	3	-5.4622
HOOK1	14	0.00021348	0.00484	0.812753	75	12	-6.0427	0.75312	0.9492	1.0	18892	1	-6.0427
PCED1A	16	0.00022244	0.0058723	0.812753	76	9	-0.72878	0.63079	0.91882	1.0	17710	3	-0.72878
TTC34	18	0.00022446	0.0070613	0.812753	77	10	-0.5246	0.2399	0.64074	1.0	11272	6	-0.5246
RNASE1	13	0.00022792	0.0046725	0.812753	78	10	-6.2922	0.97163	0.99422	1.0	20411	2	-6.2922
CSNK2A1	14	0.00023146	0.0051754	0.812753	79	11	-5.3573	0.32794	0.70828	1.0	13225	1	-5.3573
CD9	14	0.00023146	0.0051754	0.812753	80	11	-6.2718	0.41503	0.7799	1.0	14834	2	-6.2718
hsa-mir-1269a	11	0.00023483	0.0041518	0.812753	81	5	0.21485	0.40096	0.74744	1.0	14590	5	0.21485
PLA2G2A	18	0.00024114	0.0074875	0.812753	82	15	-5.3515	0.82121	0.9757	1.0	19407	2	-5.3515
NEDD1	17	0.00024147	0.0068497	0.812753	83	12	-5.8581	0.63108	0.92159	1.0	17712	3	-5.8581
TMEM81	17	0.00024147	0.0068497	0.812753	84	12	-6.2871	0.17614	0.54215	1.0	9487	5	-6.2871
SAPCD2	12	0.00024185	0.004441	0.812753	85	6	-0.54467	0.63997	0.89443	1.0	17794	3	-0.54467
KIR2DL3	18	0.00024453	0.0074999	0.812753	86	8	-0.16175	0.89321	0.98903	1.0	19919	4	-0.16175
KDM5D	16	0.00024529	0.0059135	0.812753	87	11	-6.2622	0.69991	0.93966	1.0	18405	5	-6.2622
TRPC4	15	0.00024804	0.0052374	0.812753	88	9	-5.7804	0.69621	0.9337	1.0	18366	3	-5.7804
C9orf173	10	0.00024947	0.007073	0.812753	89	6	-6.4145	0.41233	0.74196	1.0	14790	2	-6.4145
MTOR	15	0.00025654	0.0055835	0.812753	90	12	-5.5185	0.29691	0.68109	1.0	12575	3	-5.5185
FAM43B	17	0.0002567	0.0068739	0.812753	91	7	0.034907	0.69352	0.94303	1.0	18342	5	0.034907
RGS5	18	0.00025887	0.007585	0.812753	92	15	-5.7333	0.64431	0.92982	1.0	17836	2	-5.7333
XRRA1	16	0.00026303	0.0060269	0.812753	93	12	-6.1193	0.15255	0.48563	1.0	8730	3	-6.1193
TP53I13	14	0.00026575	0.0054655	0.812753	94	12	-6.1153	0.72665	0.94275	1.0	18656	1	-6.1153
MAVS	16	0.0002719	0.0060585	0.812753	95	14	-5.4071	0.99102	0.99877	1.0	20554	1	-5.4071
HIP1	16	0.00027331	0.0060704	0.812753	96	10	-5.9663	0.19551	0.55527	1.0	10058	5	-5.9663
GFRA1	17	0.00027604	0.006902	0.812753	97	12	-4.9926	0.39137	0.78575	1.0	14425	4	-4.9926
POPDC2	11	0.0002932	0.0083395	0.812753	98	8	-1.2305	0.8005	0.94786	1.0	19250	1	-1.2305
EPHX3	18	0.00029415	0.0079099	0.812753	99	7	-0.34096	0.13982	0.47542	1.0	8308	7	-0.34096
RCBTB1	18	0.00030519	0.0079185	0.812753	100	8	0.082574	0.24023	0.64161	1.0	11276	8	0.082574
SIRT2	17	0.00030522	0.0070288	0.812753	101	12	-5.6252	0.46562	0.83596	1.0	15613	5	-5.6252
MAP3K19	12	0.0003088	0.0090076	0.812753	102	9	-6.2772	0.3798	0.736	1.0	14214	3	-6.2772
SESN1	17	0.00031284	0.0070432	0.812753	103	12	-6.1566	0.54824	0.88719	1.0	16737	3	-6.1566
ATP6AP1	16	0.00031322	0.0066767	0.812753	104	13	-5.5402	0.92009	0.99049	1.0	20097	2	-5.5402
C16orf11	18	0.0003152	0.0079323	0.812753	105	8	-0.26529	0.54061	0.88611	1.0	16644	7	-0.26529
ANKFN1	18	0.00031687	0.0079323	0.812753	106	15	-4.9996	0.70552	0.94898	1.0	18466	1	-4.9996
RLN3	17	0.0003228	0.0071709	0.812753	107	12	-5.8075	0.99571	0.99942	1.0	20589	2	-5.8075
MTA1	14	0.00032281	0.010536	0.812753	108	6	0.21771	0.016366	0.096697	1.0	1929	7	0.21771
DMRTC1B	17	0.00032537	0.0073772	0.812753	109	8	-0.22177	0.85112	0.98111	1.0	19656	4	-0.22177
SIRT7	18	0.00033219	0.0079369	0.812753	110	5	0.28857	0.072561	0.31658	1.0	5527	8	0.28857
PRRT1	18	0.00034513	0.0079643	0.812753	111	12	-1.1716	0.86955	0.98504	1.0	19768	4	-1.1716
ARL6IP6	16	0.00035256	0.012271	0.812753	112	9	-5.2258	0.49482	0.85014	1.0	16042	5	-5.2258
SYP	15	0.00035403	0.011618	0.812753	113	8	-1.5769	0.42394	0.79212	1.0	14988	3	-1.5769
ZSWIM3	14	0.00035826	0.011171	0.812753	114	7	-2.3178	0.14788	0.46726	1.0	8578	6	-2.3178
GNPDA1	17	0.00035995	0.0076298	0.812753	115	12	-6.2481	0.38337	0.77961	1.0	14268	3	-6.2481
TANGO2	16	0.00036016	0.012458	0.812753	116	10	-1.7404	0.40455	0.78817	1.0	14657	5	-1.7404
LRRC32	15	0.00036164	0.011631	0.812753	117	6	-0.0040741	0.53233	0.86836	1.0	16545	5	-0.0040741
CABP1	15	0.00036224	0.011633	0.812753	118	7	-0.39881	0.826	0.97041	1.0	19444	4	-0.39881
USP46	15	0.0003645	0.011672	0.812753	119	12	-5.4906	0.2996	0.68741	1.0	12629	2	-5.4906
FOXP4	17	0.00039008	0.013678	0.812753	120	10	-6.2481	0.99149	0.99901	1.0	20557	2	-6.2481
KCTD1	17	0.00039011	0.013678	0.812753	121	8	-0.27729	0.67751	0.93773	1.0	18180	3	-0.27729
MTPAP	12	0.00039241	0.010099	0.812753	122	10	-5.1991	0.089799	0.32233	1.0	6311	2	-5.1991
PLEKHG3	18	0.00039471	0.0143	0.812753	123	12	-4.3462	0.20557	0.5894	1.0	10344	6	-4.3462
IL23R	15	0.00039865	0.012304	0.812753	124	11	-5.9858	0.55078	0.87747	1.0	16781	3	-5.9858
ALX4	15	0.00039865	0.012304	0.812753	125	10	-5.996	0.90386	0.98713	1.0	20000	2	-5.996
APEX1	13	0.00040224	0.011014	0.812753	126	8	-6.3992	0.95402	0.99158	1.0	20311	2	-6.3992
PTCH2	18	0.00040663	0.014326	0.812753	127	10	-4.5864	0.41886	0.81508	1.0	14908	4	-4.5864
PIGV	16	0.00040877	0.013008	0.812753	128	10	-6.2181	0.55125	0.88084	1.0	16789	4	-6.2181
hsa-mir-7111	8	0.00041579	0.0066845	0.812753	129	7	-5.6854	0.75332	0.90573	1.0	18894	1	-5.6854
ENOX2	17	0.00041641	0.013764	0.812753	130	6	0.011247	0.016832	0.10308	1.0	1969	8	0.011247
VPS52	14	0.00041796	0.011581	0.812753	131	11	-5.5564	0.30763	0.68746	1.0	12805	3	-5.5564
PRELID1	11	0.00042208	0.0092977	0.812753	132	9	-5.8522	0.11406	0.37248	1.0	7345	2	-5.8522
SMARCA2	18	0.00042904	0.014353	0.812753	133	8	-0.22917	0.1765	0.54	1.0	9498	4	-0.22917
CYP39A1	16	0.00043529	0.013096	0.812753	134	12	-6.0242	0.44402	0.8216	1.0	15268	3	-6.0242
TTC29	13	0.00043643	0.011112	0.812753	135	6	-0.48617	0.87292	0.97603	1.0	19794	2	-0.48617
NOC2L	16	0.00044088	0.013096	0.812753	136	10	-4.8041	0.99541	0.9993	1.0	20581	1	-4.8041
CCL3L3	18	0.00045296	0.014589	0.812753	137	7	0.082718	0.10757	0.40875	1.0	7080	6	0.082718
HLA-DQA2	17	0.00045651	0.014599	0.812753	138	9	-0.5715	0.26824	0.6608	1.0	11950	6	-0.5715
OR5AP2	15	0.00045887	0.013199	0.812753	139	8	-5.5237	0.35772	0.74832	1.0	13827	4	-5.5237
COL5A2	15	0.00046233	0.0132	0.812753	140	11	-5.9222	0.92848	0.99	1.0	20150	1	-5.9222
TOR4A	17	0.00048482	0.014699	0.812753	141	5	0.48556	0.011998	0.081485	1.0	1526	9	0.48556
SMIM11	12	0.00048658	0.010783	0.812753	142	6	-3.0084	0.85869	0.96884	1.0	19707	3	-3.0084
TANGO6	17	0.00048762	0.014699	0.812753	143	12	-5.8828	0.36927	0.76893	1.0	14017	4	-5.8828
ZNF775	17	0.00048954	0.014699	0.812753	144	9	-0.59697	0.31481	0.71564	1.0	12948	6	-0.59697
TCTE1	13	0.00049394	0.011914	0.812753	145	9	-6.1656	0.87491	0.9764	1.0	19811	3	-6.1656
C9orf169	12	0.00050015	0.010886	0.812753	146	7	-1.092	0.72756	0.93199	1.0	18661	4	-1.092
MOS	13	0.0005016	0.012083	0.812753	147	7	-0.54556	0.45311	0.80541	1.0	15411	4	-0.54556
EIF3D	13	0.00050254	0.012083	0.812753	148	11	-5.7483	0.85915	0.97294	1.0	19713	2	-5.7483
MFSD9	13	0.00050407	0.012083	0.812753	149	8	-6.3	0.81077	0.96316	1.0	19330	1	-6.3
SEMA6B	12	0.00050809	0.010888	0.812753	150	10	-5.7683	0.93804	0.98677	1.0	20207	1	-5.7683
hsa-mir-296	11	0.00050882	0.0096194	0.812753	151	8	-6.2251	0.99115	0.99575	1.0	20556	1	-6.2251
RDH11	15	0.00051263	0.013349	0.812753	152	11	-5.9774	0.47241	0.82758	1.0	15723	3	-5.9774
NKX1-2	15	0.00051332	0.013351	0.812753	153	13	-5.8331	0.38478	0.76809	1.0	14292	1	-5.8331
PXK	8	0.00051952	0.0074294	0.812753	154	7	-5.926	0.97774	0.98583	1.0	20455	1	-5.926
PCDHGA1	6	0.00052277	0.0056602	0.812753	155	4	-6.7104	0.92582	0.94738	1.0	20136	1	-6.7104
SLC27A2	11	0.00053514	0.0097136	0.812753	156	8	-1.347	0.89962	0.9762	1.0	19963	2	-1.347
NKAIN2	18	0.0005494	0.016222	0.812753	157	9	-0.30794	0.36668	0.77161	1.0	13973	8	-0.30794
MYH1	16	0.0005503	0.014977	0.812753	158	11	-5.6346	0.25636	0.64453	1.0	11666	3	-5.6346
DUSP4	18	0.00055158	0.016222	0.812753	159	10	-0.74567	0.44776	0.83102	1.0	15327	7	-0.74567
hsa-mir-3616	11	0.00055531	0.0097713	0.812753	160	6	-0.74383	0.84888	0.96393	1.0	19639	3	-0.74383
WDR86	16	0.00056365	0.015005	0.812753	161	10	-2.8131	0.62912	0.91767	1.0	17696	3	-2.8131
WBSCR16	16	0.00056888	0.015005	0.812753	162	8	-2.8065	0.051314	0.24251	1.0	4393	6	-2.8065
LSM7	15	0.00056927	0.014192	0.812753	163	11	-5.2451	0.98553	0.99775	1.0	20505	2	-5.2451
ABCC9	11	0.00056955	0.0099319	0.812753	164	9	-5.8331	0.58615	0.85985	1.0	17233	1	-5.8331
PTPRD	18	0.00058158	0.01678	0.812753	165	11	-3.5416	0.20562	0.58954	1.0	10348	5	-3.5416
EXOSC5	15	0.00058902	0.014403	0.812753	166	12	-6.1742	0.61094	0.90464	1.0	17524	2	-6.1742
CLEC18C	18	0.00059112	0.016787	0.812753	167	8	0.064013	0.083033	0.35046	1.0	6006	7	0.064013
MIB2	15	0.00059422	0.014773	0.812753	168	7	0.050811	0.28545	0.66614	1.0	12341	7	0.050811
ZMYND11	15	0.00059437	0.014777	0.812753	169	8	-5.6252	0.67887	0.92726	1.0	18193	4	-5.6252
MLC1	18	0.00059803	0.016795	0.812753	170	12	-3.4907	0.93684	0.99365	1.0	20203	2	-3.4907
ZNF304	18	0.00059979	0.016795	0.812753	171	12	-3.4007	0.59879	0.91516	1.0	17371	5	-3.4007
UCK1	17	0.0006173	0.016298	0.812753	172	11	-5.9698	0.7928	0.96736	1.0	19186	5	-5.9698
MRPL19	18	0.0006252	0.017354	0.812753	173	12	-6.0326	0.65455	0.93339	1.0	17946	3	-6.0326
FABP1	14	0.00062843	0.013882	0.812753	174	9	-5.7812	0.91575	0.98588	1.0	20065	2	-5.7812
GLE1	15	0.00063275	0.01502	0.812753	175	12	-5.5851	0.57435	0.89146	1.0	17077	2	-5.5851
MTF1	13	0.00064104	0.012681	0.812753	176	9	-6.1087	0.47877	0.82035	1.0	15806	4	-6.1087
SIM2	16	0.00064634	0.015924	0.812753	177	12	-5.2951	0.939	0.9928	1.0	20215	3	-5.2951
ADAM8	15	0.00066023	0.015455	0.812753	178	8	-0.64593	0.94708	0.99248	1.0	20269	3	-0.64593
STXBP5L	12	0.00066187	0.011271	0.812753	179	7	-3.0889	0.96949	0.99314	1.0	20402	2	-3.0889
CNP	17	0.00066434	0.016898	0.812753	180	11	-5.2856	0.99701	0.99954	1.0	20603	1	-5.2856
DHFR	12	0.00066568	0.011271	0.812753	181	9	-5.9422	0.56463	0.86558	1.0	16955	1	-5.9422
PGF	17	0.00067526	0.017325	0.812753	182	6	0.12277	0.10849	0.40493	1.0	7117	8	0.12277
TPCN1	18	0.00067846	0.017607	0.812753	183	13	-1.3961	0.79192	0.97053	1.0	19179	2	-1.3961
KCNA2	16	0.00068547	0.016483	0.812753	184	11	-5.1902	0.20921	0.5789	1.0	10448	4	-5.1902
SLC35A2	17	0.00068811	0.017798	0.812753	185	10	-5.5837	0.67053	0.93605	1.0	18104	4	-5.5837
C2orf48	15	0.00069498	0.015501	0.812753	186	11	-5.6983	0.31758	0.7048	1.0	13013	4	-5.6983
SRSF10	10	0.00069537	0.009828	0.812753	187	9	-5.8762	0.94948	0.98611	1.0	20284	1	-5.8762
IL4R	16	0.00069682	0.016521	0.812753	188	12	-5.9268	0.57471	0.89349	1.0	17084	3	-5.9268
PLAGL1	14	0.00070027	0.014289	0.812753	189	9	-6.3346	0.051556	0.24088	1.0	4405	4	-6.3346
HNF4A	18	0.00070378	0.017813	0.812753	190	9	-0.4193	0.81732	0.97499	1.0	19390	5	-0.4193
FAM192A	14	0.0007044	0.014289	0.812753	191	12	-5.1412	0.50366	0.84839	1.0	16148	2	-5.1412
GTPBP2	15	0.00070776	0.015532	0.812753	192	12	-5.5624	0.5201	0.85945	1.0	16376	2	-5.5624
MCMBP	14	0.00071464	0.014339	0.812753	193	11	-5.7937	0.72712	0.94294	1.0	18659	2	-5.7937
DIRAS3	17	0.00071937	0.017838	0.812753	194	12	-6.1294	0.97626	0.99747	1.0	20442	1	-6.1294
AUP1	15	0.00072856	0.015567	0.812753	195	8	-5.6252	0.55932	0.88468	1.0	16890	5	-5.6252
TCF3	16	0.00073406	0.016736	0.812753	196	11	-6.2314	0.37658	0.7675	1.0	14159	4	-6.2314
GIMAP2	13	0.00073524	0.013022	0.812753	197	10	-5.6149	0.028774	0.14561	1.0	2939	3	-5.6149
KCNJ18	18	0.00073871	0.018326	0.812753	198	10	-3.8457	0.45559	0.83503	1.0	15456	5	-3.8457
RPS17L	14	0.0007501	0.01448	0.812753	199	10	-1.0528	0.36017	0.73374	1.0	13866	2	-1.0528
AFAP1	15	0.00075153	0.015602	0.812753	200	8	-0.7126	0.69263	0.93249	1.0	18331	5	-0.7126
ANO5	9	0.00075631	0.0093201	0.812753	201	6	-6.6105	0.58123	0.83747	1.0	17166	1	-6.6105
GLI3	13	0.00076321	0.013166	0.812753	202	2	0.49679	0.06549	0.26962	1.0	5151	8	0.49679
CHST13	15	0.00076666	0.015761	0.812753	203	11	-5.1412	0.56857	0.88962	1.0	17013	3	-5.1412
RAI1	17	0.00076991	0.018414	0.812753	204	7	-0.058909	0.47602	0.84513	1.0	15768	6	-0.058909
RABAC1	18	0.00077192	0.019531	0.812753	205	10	-0.75729	0.64729	0.93089	1.0	17864	5	-0.75729
MALT1	16	0.00077709	0.017484	0.812753	206	10	-3.478	0.82642	0.97488	1.0	19447	3	-3.478
OARD1	11	0.00078089	0.011561	0.812753	207	8	-5.8868	0.32913	0.67145	1.0	13250	3	-5.8868
BICC1	9	0.00078095	0.0093649	0.812753	208	8	-6.2344	0.89853	0.96688	1.0	19956	1	-6.2344
HOXC13	17	0.00079483	0.018477	0.812753	209	9	-5.8522	0.71001	0.94928	1.0	18513	3	-5.8522
HDHD3	18	0.00079795	0.019547	0.812753	210	12	-3.2878	0.9708	0.99751	1.0	20410	2	-3.2878
FOXC2	17	0.00080932	0.0185	0.812753	211	10	-1.3568	0.85547	0.98212	1.0	19687	4	-1.3568
PHGR1	18	0.00081624	0.019752	0.812753	212	10	-0.80281	0.036138	0.19165	1.0	3461	5	-0.80281
PSMB2	9	0.0008268	0.0097026	0.812753	213	8	-5.6149	0.10542	0.33021	1.0	6990	1	-5.6149
MPZL3	17	0.00083096	0.018505	0.812753	214	11	-6.1742	0.90948	0.98919	1.0	20021	4	-6.1742
TSFM	17	0.00083165	0.018505	0.812753	215	11	-6.0446	0.75662	0.95927	1.0	18917	5	-6.0446
MGMT	15	0.00083303	0.016127	0.812753	216	5	0.094125	0.034352	0.17086	1.0	3336	5	0.094125
CNGA3	18	0.0008374	0.019863	0.812753	217	9	-0.27607	0.25129	0.65227	1.0	11548	6	-0.27607
CD79B	11	0.00083872	0.011783	0.812753	218	6	-0.61633	0.59408	0.86366	1.0	17317	2	-0.61633
TSPEAR	18	0.00084574	0.019867	0.812753	219	12	-3.106	0.76374	0.96537	1.0	18965	2	-3.106
ZBTB39	17	0.00084628	0.01901	0.812753	220	11	-5.9047	0.85086	0.98104	1.0	19651	5	-5.9047
HIST1H2BN	18	0.0008466	0.0199	0.812753	221	12	-6.0622	0.15084	0.4947	1.0	8677	6	-6.0622
LPCAT4	18	0.00084812	0.0199	0.812753	222	9	-0.23083	9.0607e-05	0.0011478	0.492806	35	8	-0.23083
hsa-mir-4656	12	0.00084815	0.012781	0.812753	223	6	-2.2081	0.049828	0.22093	1.0	4303	5	-2.2081
MAT2A	9	0.00084981	0.0097278	0.812753	224	8	-5.9071	0.89096	0.963	1.0	19900	1	-5.9071
EXOSC7	14	0.0008555	0.014958	0.812753	225	12	-5.3657	0.98709	0.99763	1.0	20516	2	-5.3657
EP300	18	0.00085938	0.019944	0.812753	226	11	-0.81598	0.061193	0.27972	1.0	4928	5	-0.81598
ZNF681	15	0.00085962	0.01615	0.812753	227	12	-5.3105	0.44105	0.80406	1.0	15236	3	-5.3105
MYL6B	15	0.00086008	0.01615	0.812753	228	9	-0.67493	0.078581	0.32291	1.0	5815	6	-0.67493
FAM102A	12	0.00086207	0.013093	0.812753	229	6	-0.45664	0.61243	0.88344	1.0	17541	4	-0.45664
CTSZ	15	0.00086793	0.016294	0.812753	230	10	-6.2871	0.36379	0.7533	1.0	13922	1	-6.2871
LRRC1	14	0.00086962	0.014993	0.812753	231	8	-3.256	0.17991	0.509	1.0	9602	6	-3.256
